CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,Churn
1192,63,Male,1,60.69,One Year,None,1341.87,No
1193,29,Female,4,107.78,Month-to-Month,DSL,817.73,No
1194,34,Male,7,63.2,One Year,DSL,2208.06,No
1195,42,Female,4,48.41,Month-to-Month,Fiber,3850.95,No
1196,47,Female,7,113.53,Two Year,None,6777.43,No
1197,39,Female,4,97.23,One Year,DSL,2163.68,No
1198,64,Female,3,81.1,Month-to-Month,Fiber,4204.59,Yes
1199,43,Female,3,20.27,Month-to-Month,DSL,7472.14,Yes
1200,34,Female,3,113.15,Month-to-Month,None,5504.11,No
1201,37,Female,7,87.38,Two Year,DSL,6485.59,No
1202,51,Female,5,42.45,One Year,None,4632.45,Yes
1203,58,Female,7,22.48,Month-to-Month,DSL,7853.5,No
1204,50,Female,1,20.75,Month-to-Month,None,4914.97,No
1205,54,Female,5,112.74,Month-to-Month,DSL,841.33,No
1206,24,Male,3,89.32,One Year,DSL,,No
1207,39,Male,2,90.51,Two Year,Fiber,3535.8,No
1208,49,Female,7,79.61,Two Year,None,5009.58,No
1209,31,Female,2,73.72,Month-to-Month,DSL,6289.48,No
1210,25,Female,8,65.56,Month-to-Month,Fiber,3598.15,No
1211,42,Female,6,80.02,One Year,DSL,5825.44,No
1212,33,Male,7,85.41,Month-to-Month,Fiber,6424.02,Yes
1213,59,Male,2,57.3,Two Year,DSL,2879.45,No
1214,36,Female,7,86.82,One Year,Fiber,7844.53,No
1215,58,Male,7,65.69,One Year,None,5372.42,No
1216,33,Male,7,28.51,Month-to-Month,DSL,7107.49,No
1217,29,Female,7,43.32,Two Year,None,4669.53,Yes
1218,56,Male,3,28.14,One Year,None,6062.02,No
1219,65,Female,6,52.2,One Year,Fiber,6279.08,No
1220,47,Male,3,81.13,Month-to-Month,None,7311.86,No
1221,19,Female,3,56.76,Two Year,Fiber,,No
1222,49,Male,4,92.62,Two Year,Fiber,4687.13,No
1223,62,Male,3,87.81,One Year,Fiber,3712.84,Yes
1224,42,Female,4,34.47,Two Year,Fiber,7423.69,No
1225,42,Male,9,36.8,Month-to-Month,Fiber,1288.21,No
1226,21,Male,6,26.44,Month-to-Month,DSL,7869.3,No
1227,36,Male,5,46.43,One Year,DSL,7065.88,No
1228,65,Male,6,54.84,One Year,None,,No
1229,21,Male,2,28.82,Two Year,DSL,4182.25,No
1230,60,Female,6,80.22,Month-to-Month,Fiber,5881.7,No
1231,30,Male,9,91.44,Two Year,Fiber,,No
1232,56,Female,3,35.72,Two Year,DSL,7298.71,No
1233,53,Male,6,54.21,One Year,None,6498.99,No
1234,40,Male,7,92.72,Month-to-Month,None,2831.98,Yes
1235,23,Female,5,86.33,Month-to-Month,DSL,4238.26,No
1236,41,Female,1,105.45,Two Year,Fiber,5763.39,No
1237,61,Female,9,75.46,Month-to-Month,Fiber,1538.28,Yes
1238,50,Female,6,22.58,Month-to-Month,None,1954.93,Yes
1239,29,Male,6,25.73,Two Year,DSL,4107.82,No
1240,58,Male,6,28.01,One Year,Fiber,2736.84,No
1241,38,Female,2,71.71,One Year,None,6969.19,No
1242,28,Male,1,95.51,One Year,None,4897.08,No
1243,61,Female,1,23.23,Two Year,DSL,3114.99,Yes
1244,55,Female,1,65.67,Month-to-Month,None,6866.25,No
1245,46,Female,1,102.48,Two Year,Fiber,6536.59,Yes
1246,65,Female,1,86.86,Two Year,None,7987.66,No
1247,58,Male,8,74.59,One Year,None,6854.81,No
1248,20,Male,7,78.88,Month-to-Month,None,3608.42,No
1249,45,Female,4,109.65,One Year,DSL,1456.24,No
1250,37,Male,6,77.51,Month-to-Month,Fiber,6804.81,Yes
1251,43,Male,5,62.18,Month-to-Month,None,948.18,No
1252,41,Female,4,90.3,One Year,DSL,3127.03,No
1253,69,Female,5,55.72,One Year,None,7398.03,No
1254,64,Female,6,117.29,Two Year,Fiber,7705.75,Yes
1255,38,Male,2,107.23,Month-to-Month,None,5304.23,No
1256,47,Male,4,35.67,Month-to-Month,DSL,5664.86,Yes
1257,21,Male,7,88.41,Month-to-Month,None,818.41,No
1258,53,Female,8,23.41,Month-to-Month,None,4358.6,No
1259,57,Female,5,108.52,Month-to-Month,None,4601.51,Yes
1260,27,Male,1,104.49,Two Year,DSL,3050.76,No
1261,27,Female,1,71.01,Month-to-Month,None,1014.48,No
1262,59,Male,8,32.77,Two Year,None,2216.81,No
1263,41,Male,4,82.15,One Year,DSL,3184.88,No
1264,21,Male,4,43.93,Two Year,DSL,3763.56,No
1265,64,Female,1,83.09,Two Year,Fiber,4931.95,No
1266,44,Female,1,89.37,Two Year,DSL,5917.94,No
1267,68,Male,5,30.63,One Year,None,2882.24,No
1268,62,Female,5,67.69,Month-to-Month,None,2967.15,Yes
1269,21,Male,6,78.56,Two Year,DSL,647.69,No
1270,49,Female,9,45.36,One Year,Fiber,806.56,No
1271,27,Male,9,40.1,Two Year,DSL,2433.66,Yes
1272,28,Male,1,83.79,Two Year,Fiber,6051.84,Yes
1273,45,Female,2,96.07,One Year,DSL,5212.35,No
1274,63,Male,6,55.91,Two Year,Fiber,6273.42,Yes
1275,25,Male,7,90.89,Two Year,Fiber,6266.9,No
1276,57,Male,2,78.74,Month-to-Month,None,6924.26,No
1277,39,Male,5,100.96,One Year,Fiber,5902.39,Yes
1278,51,Male,1,40.41,Two Year,None,7842.58,Yes
1279,62,Female,5,99.64,One Year,DSL,7241.19,No
1280,52,Female,8,46.64,One Year,DSL,4900.38,Yes
1281,52,Female,8,49.83,Month-to-Month,DSL,4911.18,Yes
1282,42,Female,8,117.82,Month-to-Month,DSL,757.0,No
1283,51,Female,7,24.6,Month-to-Month,DSL,7988.95,No
1284,23,Female,3,38.98,Two Year,None,1486.82,No
1285,58,Female,7,72.09,Two Year,DSL,6052.6,No
1286,54,Female,1,57.6,Two Year,Fiber,6657.61,No
1287,18,Male,3,44.21,Two Year,None,3297.91,No
1288,29,Male,8,88.46,Two Year,Fiber,1976.39,No
1289,52,Male,8,86.92,Two Year,None,1240.7,Yes
1290,23,Male,3,116.37,One Year,Fiber,6114.55,No
1291,34,Female,7,107.86,One Year,None,3894.9,No
1292,26,Female,2,119.74,Month-to-Month,DSL,5852.88,No
1293,19,Female,4,56.29,Two Year,None,7365.56,Yes
1294,35,Female,8,24.52,One Year,None,1599.38,No
1295,66,Male,1,52.53,Month-to-Month,Fiber,7393.78,No
1296,53,Female,6,69.69,Month-to-Month,None,3587.2,No
1297,45,Male,5,37.22,Month-to-Month,None,2789.5,No
1298,58,Male,6,28.51,Month-to-Month,DSL,7572.97,No
1299,54,Female,6,65.27,One Year,Fiber,7929.89,No
1300,66,Female,4,113.27,One Year,None,1991.69,No
